,name,yyyymm,episodes,view_count,anime_url,score,score_count,five_stars_ratio
33,搖曳露營△ 第三季,2024/04,5,24.2,https://ani.gamer.com.tw/animeRef.php?sn=113524,5.0,4956,99
8,為美好的世界獻上祝福！3,2024/04,4,77.6,https://ani.gamer.com.tw/animeRef.php?sn=113517,5.0,14204,100
17,老夫老妻重返青春,2024/04,4,45.7,https://ani.gamer.com.tw/animeRef.php?sn=113527,5.0,7511,98
28,WIND BREAKER—防風少年—,2024/04,5,48,https://ani.gamer.com.tw/animeRef.php?sn=113501,4.9,5259,97
32,王牌酒保 Glass of God,2024/04,5,21.6,https://ani.gamer.com.tw/animeRef.php?sn=113500,4.9,2552,96
1,黑執事 寄宿學校篇,2024/04,3,8.9,https://ani.gamer.com.tw/animeRef.php?sn=113509,4.9,1229,96
26,身為魔王的我娶了奴隸精靈為妻，該如何表白我的愛？,2024/04,6,83.8,https://ani.gamer.com.tw/animeRef.php?sn=113503,4.9,7615,92
34,轉生為第七王子，隨心所欲的魔法學習之路,2024/04,5,93.3,https://ani.gamer.com.tw/animeRef.php?sn=113514,4.9,8843,95
35,安田現象,2024/04,15,6.4,https://ani.gamer.com.tw/animeRef.php?sn=113535,4.9,538,97
38,關於我轉生變成史萊姆這檔事 第三季,2024/03,8,111.1,https://ani.gamer.com.tw/animeRef.php?sn=113489,4.9,8446,95
39,MONSTERS 一百三情飛龍侍極,2024/01,1,5,https://ani.gamer.com.tw/animeRef.php?sn=113463,4.9,1626,95
21,單人房、日照一般、附天使。,2024/04,4,26.5,https://ani.gamer.com.tw/animeRef.php?sn=113519,4.9,3970,93
19,魔法科高中的劣等生 第三季,2024/04,5,45.4,https://ani.gamer.com.tw/animeRef.php?sn=113506,4.9,4124,95
18,死神少爺與黑女僕 第三季,2024/04,4,5.3,https://ani.gamer.com.tw/animeRef.php?sn=113529,4.9,1015,95
16,夜櫻家大作戰,2024/04,4,27.2,https://ani.gamer.com.tw/animeRef.php?sn=113492,4.9,3556,94
29,怪人的沙拉碗,2024/04,5,32.1,https://ani.gamer.com.tw/animeRef.php?sn=113504,4.9,4037,95
14,蔚藍檔案 The Animation,2024/04,4,32.4,https://ani.gamer.com.tw/animeRef.php?sn=113512,4.9,6391,96
13,夜晚的水母不會游泳,2024/04,4,32.8,https://ani.gamer.com.tw/animeRef.php?sn=113491,4.9,7754,98
11,失憶投捕,2024/04,4,15.9,https://ani.gamer.com.tw/animeRef.php?sn=113523,4.9,2071,97
47,她來自煩星 第二季,2024/01,16,24.1,https://ani.gamer.com.tw/animeRef.php?sn=113453,4.9,1707,95
48,勇氣爆發 BANG BRAVERN,2024/01,12,143.8,https://ani.gamer.com.tw/animeRef.php?sn=113468,4.9,10811,98
7,約會大作戰 DATE A LIVE V,2024/04,4,18.7,https://ani.gamer.com.tw/animeRef.php?sn=113499,4.9,2846,96
6,聲優廣播的幕前幕後,2024/04,4,11.7,https://ani.gamer.com.tw/animeRef.php?sn=113498,4.9,1875,94
4,怪獸 8 號,2024/04,3,43.2,https://ani.gamer.com.tw/animeRef.php?sn=113518,4.9,5232,96
54,公主殿下，「拷問」的時間到了,2024/01,12,54.5,https://ani.gamer.com.tw/animeRef.php?sn=113449,4.9,5506,96
2,恰如細語般的戀歌,2024/04,3,11.3,https://ani.gamer.com.tw/animeRef.php?sn=113510,4.9,3036,95
44,魔女與野獸,2024/01,12,62,https://ani.gamer.com.tw/animeRef.php?sn=113469,4.8,2697,85
41,小酒館 Basue,2024/01,13,18.1,https://ani.gamer.com.tw/animeRef.php?sn=113456,4.8,1287,89
53,反派千金等級 99～我是隱藏頭目但不是魔王～,2024/01,12,273.3,https://ani.gamer.com.tw/animeRef.php?sn=113467,4.8,10679,91
43,最弱魔物使開始了撿垃圾之旅。,2024/01,12,93.3,https://ani.gamer.com.tw/animeRef.php?sn=113446,4.8,4784,88
55,愚蠢天使與惡魔共舞,2024/01,12,71.5,https://ani.gamer.com.tw/animeRef.php?sn=113454,4.8,4579,89
30,Love Live！虹咲學園 學園偶像同好會 短篇動畫 第二季,2024/04,5,2.4,https://ani.gamer.com.tw/animeRef.php?sn=113505,4.8,522,93
27,關於我們把節目全部丟給聲優那件事,2024/04,4,8,https://ani.gamer.com.tw/animeRef.php?sn=113531,4.8,1755,94
15,轉生貴族憑鑑定技能扭轉人生,2024/04,4,47.8,https://ani.gamer.com.tw/animeRef.php?sn=113521,4.7,3705,84
51,戰國妖狐,2024/01,13,28.3,https://ani.gamer.com.tw/animeRef.php?sn=113442,4.7,1646,86
50,如果 30 歲還是處男，似乎就能成為魔法師,2024/01,12,66.4,https://ani.gamer.com.tw/animeRef.php?sn=113443,4.7,5768,89
46,名湯「異世界溫泉」開拓記～30 多歲溫泉狂熱者，轉生到悠閒的溫泉天國～,2024/01,12,61.3,https://ani.gamer.com.tw/animeRef.php?sn=113452,4.7,3152,86
12,從 Lv2 開始開外掛的前勇者候補過著悠哉異世界生活,2024/04,4,54.4,https://ani.gamer.com.tw/animeRef.php?sn=113490,4.7,4723,88
0,我回來了、歡迎回家,2024/04,4,8.5,https://ani.gamer.com.tw/animeRef.php?sn=113534,4.7,2078,92
31,星際莊的戀愛日記,2024/04,5,4.6,https://ani.gamer.com.tw/animeRef.php?sn=113526,4.6,634,81
5,格鬥實況,2024/04,4,15.9,https://ani.gamer.com.tw/animeRef.php?sn=113502,4.6,1485,81
52,女王的手術刀,2024/01,12,61.9,https://ani.gamer.com.tw/animeRef.php?sn=113465,4.6,2362,80
9,花野井同學與戀愛病,2024/04,4,7.8,https://ani.gamer.com.tw/animeRef.php?sn=113497,4.6,1040,81
25,我的英雄學院 第七季,2024/04,4,16.8,https://ani.gamer.com.tw/animeRef.php?sn=113528,4.5,2027,86
23,蜻蛉高球,2024/04,5,2.8,https://ani.gamer.com.tw/animeRef.php?sn=113508,4.5,362,80
36,Re:Monster,2024/04,5,48.6,https://ani.gamer.com.tw/animeRef.php?sn=113493,4.5,3205,78
40,狩火之王 第二季,2024/01,10,5.8,https://ani.gamer.com.tw/animeRef.php?sn=113461,4.5,343,74
24,偶像大師 閃耀色彩,2024/04,5,3.3,https://ani.gamer.com.tw/animeRef.php?sn=113525,4.5,542,80
3,THE NEW GATE,2024/04,3,18.8,https://ani.gamer.com.tw/animeRef.php?sn=113511,4.4,1657,72
49,金屬口紅,2024/01,13,23.2,https://ani.gamer.com.tw/animeRef.php?sn=113472,4.3,1547,69
42,卡片戰鬥!! 先導者 Divinez,2024/01,13,2.8,https://ani.gamer.com.tw/animeRef.php?sn=113476,4.2,146,73
10,RINKAI！女子競輪,2024/04,4,2.5,https://ani.gamer.com.tw/animeRef.php?sn=113522,3.6,309,49
37,神明渴求著遊戲。,2024/04,5,20.4,https://ani.gamer.com.tw/animeRef.php?sn=113533,3.6,1929,50
22,龍族,2024/04,7,17.4,https://ani.gamer.com.tw/animeRef.php?sn=113520,3.5,1767,54
45,月刊妄想科學,2024/01,12,4.5,https://ani.gamer.com.tw/animeRef.php?sn=113475,3.0,332,32
20,極速星舞,2024/04,5,4.7,https://ani.gamer.com.tw/animeRef.php?sn=113507,1.4,3398,8
